crop,soil_moisture,temperature,humidity,nitrogen,phosphorus,potassium,ph,action
Potato,27.0,22.4,24.5,81.7,57.7,119.41,5.86,Irrigate
Potato,60.98,21.26,72.59,75.39,6.8,107.67,5.94,Fertilize
Wheat,48.42,20.53,59.54,66.16,10.5,66.25,6.71,Fertilize
Wheat,47.71,35.2,87.8,65.85,41.42,71.12,6.75,Apply Pesticide
Cotton,26.1,32.25,49.15,50.33,30.05,59.88,6.86,Monitor
Tomato,92.8,26.04,92.9,98.71,52.09,101.3,6.43,Harvest
Rice,96.7,26.39,102.0,92.96,54.02,93.66,6.44,Harvest
Cotton,40.64,33.88,57.3,57.53,9.4,67.73,7.04,Fertilize
Soybean,21.5,27.76,34.1,41.9,47.83,74.58,6.55,Irrigate
Rice,74.46,39.3,97.0,74.92,41.78,84.55,6.46,Apply Pesticide
Potato,44.1,20.49,65.0,73.86,52.92,106.07,5.79,Monitor
Cotton,18.6,30.69,24.4,55.57,32.59,68.2,7.03,Irrigate
Cotton,63.0,31.45,82.0,66.31,40.27,76.73,6.97,Harvest
Cotton,39.04,48.5,89.1,56.07,32.41,73.09,6.92,Apply Pesticide
Sugarcane,68.25,31.75,71.29,101.73,7.3,101.85,6.58,Fertilize
Wheat,34.7,21.45,56.62,58.29,36.02,62.92,6.56,Monitor
Cotton,58.6,32.24,70.3,64.16,40.08,82.14,7.12,Harvest
Potato,47.4,21.39,72.52,73.0,50.41,109.3,5.94,Monitor
Maize,54.48,43.9,84.1,95.13,47.21,92.47,6.16,Apply Pesticide
Tomato,58.88,40.9,92.4,85.67,48.43,100.25,6.69,Apply Pesticide
Maize,51.43,28.03,68.52,100.68,19.5,85.69,6.24,Fertilize
Tomato,59.6,26.35,70.58,85.98,51.7,91.82,6.44,Optimal
Rice,91.6,24.37,102.5,93.8,50.45,92.46,6.43,Harvest
Soybean,50.83,26.04,64.24,37.91,42.72,85.02,6.28,Optimal
Wheat,14.3,21.53,25.7,65.58,36.97,67.67,6.69,Irrigate
Potato,51.2,22.01,65.81,71.77,47.62,106.97,5.45,Monitor
Cotton,42.9,30.81,51.93,63.94,34.96,74.36,7.03,Optimal
Maize,55.14,25.99,64.42,90.44,23.1,86.47,6.36,Fertilize
Soybean,34.4,25.46,59.27,37.9,42.95,68.47,6.83,Monitor
Rice,72.38,25.61,74.62,45.4,43.28,84.52,6.43,Fertilize
Wheat,37.2,20.03,56.56,62.23,35.17,68.63,6.65,Monitor
Rice,92.9,25.45,103.8,92.93,47.68,85.32,6.45,Harvest
Wheat,29.1,19.93,61.2,58.0,37.4,62.22,7.06,Monitor
Rice,102.1,25.61,100.6,90.67,49.39,93.99,6.41,Harvest
Tomato,48.8,25.72,64.95,76.67,46.85,88.36,6.75,Monitor
Wheat,35.3,19.95,56.83,60.53,33.3,68.66,6.41,Monitor
Cotton,39.25,29.98,56.17,61.58,3.6,71.99,6.99,Fertilize
Wheat,36.5,21.79,59.31,64.0,35.19,69.54,6.57,Monitor
Sugarcane,64.65,44.8,93.1,109.25,41.48,106.89,6.86,Apply Pesticide
Soybean,8.0,24.89,26.7,38.53,46.2,75.52,6.47,Irrigate
Soybean,50.39,25.48,60.8,40.6,20.9,74.85,6.6,Fertilize
Cotton,40.91,33.85,58.3,25.1,36.14,64.6,6.87,Fertilize
Sugarcane,17.1,34.66,23.7,107.19,45.8,101.7,6.71,Irrigate
Potato,60.05,18.65,67.3,7.4,57.0,119.02,5.65,Fertilize
Cotton,38.76,45.3,96.7,60.86,36.55,70.62,7.17,Apply Pesticide
Sugarcane,35.2,32.11,40.6,104.67,45.58,100.97,6.83,Irrigate
Maize,51.59,29.33,69.37,5.7,53.2,96.43,6.16,Fertilize
Cotton,12.3,34.54,26.3,64.54,36.66,75.6,6.88,Irrigate
Cotton,38.91,47.3,72.4,59.01,36.41,72.64,7.05,Apply Pesticide
Sugarcane,62.9,30.94,72.23,99.18,44.0,98.19,6.94,Optimal
Soybean,27.1,24.52,20.1,39.7,41.41,85.56,6.67,Irrigate
Tomato,23.2,27.83,28.2,81.92,46.29,98.05,6.6,Irrigate
Sugarcane,66.97,33.14,72.5,111.2,41.97,105.46,6.61,Optimal
Cotton,41.31,31.49,59.03,18.6,35.91,74.04,7.1,Fertilize
Potato,33.7,19.45,24.5,81.09,51.95,119.67,5.62,Irrigate
Wheat,43.2,37.1,77.0,74.77,38.09,65.31,6.66,Apply Pesticide
Maize,84.8,25.74,83.3,107.45,57.26,95.72,6.43,Harvest
Tomato,55.5,39.7,93.2,88.3,46.99,95.0,6.7,Apply Pesticide
Wheat,47.39,21.13,56.85,69.85,41.5,73.07,6.9,Optimal
Potato,57.32,19.97,70.32,43.6,51.71,120.48,5.87,Fertilize
Wheat,65.3,17.86,78.6,81.85,46.32,81.02,6.98,Harvest
Potato,63.57,21.0,73.25,75.86,20.4,115.5,5.8,Fertilize
Soybean,47.36,23.23,63.37,5.4,45.66,79.65,6.61,Fertilize
Potato,60.29,20.28,71.87,86.05,57.69,106.44,5.72,Optimal
Soybean,47.4,23.3,64.81,40.93,46.83,73.94,6.33,Optimal
Sugarcane,40.9,34.99,40.4,111.71,44.72,112.38,6.69,Irrigate
Rice,68.42,43.2,95.8,75.89,44.11,79.59,6.21,Apply Pesticide
Maize,58.82,44.2,95.0,95.31,50.46,88.08,6.35,Apply Pesticide
Maize,38.4,29.4,66.38,77.82,43.73,86.67,6.39,Monitor
Cotton,27.6,30.2,51.58,52.21,31.96,60.82,6.91,Monitor
Sugarcane,67.7,29.68,80.86,101.39,47.43,99.8,6.99,Optimal
Sugarcane,62.7,33.76,80.22,107.68,48.49,99.75,6.87,Optimal
Wheat,26.4,20.99,27.3,73.03,37.65,72.97,6.92,Irrigate
Tomato,45.8,27.74,70.21,80.76,42.09,93.95,6.28,Monitor
Cotton,38.43,44.3,78.0,60.35,34.65,65.11,6.86,Apply Pesticide
Sugarcane,93.9,32.55,98.6,129.1,50.34,119.54,6.82,Harvest
Tomato,55.64,25.59,73.47,9.5,46.99,91.67,6.55,Fertilize
Sugarcane,66.91,50.4,93.9,104.33,41.76,110.71,6.97,Apply Pesticide
Maize,84.5,28.14,87.4,105.7,52.61,91.33,6.52,Harvest
Soybean,46.95,37.9,79.1,40.59,43.86,80.05,6.65,Apply Pesticide
Sugarcane,87.0,31.22,94.9,112.22,53.31,121.43,6.65,Harvest
Cotton,26.0,31.84,52.27,51.06,32.5,66.01,7.17,Monitor
Tomato,88.3,23.0,89.1,96.71,52.0,101.1,6.36,Harvest
Rice,72.4,28.89,85.28,45.7,43.16,75.28,6.15,Fertilize
Rice,73.78,25.15,84.88,76.89,14.3,85.58,6.34,Fertilize
Soybean,69.8,24.38,86.0,46.38,46.78,90.45,6.25,Harvest
Soybean,53.57,24.72,60.52,5.0,46.48,74.64,6.44,Fertilize
Tomato,86.0,25.81,91.6,92.76,59.12,103.12,6.6,Harvest
Potato,39.6,21.28,34.2,84.35,59.33,123.13,5.8,Irrigate
Maize,85.2,24.96,82.0,114.28,56.53,104.09,6.24,Harvest
Maize,79.8,25.85,83.6,115.54,57.63,105.03,6.2,Harvest
Soybean,8.8,24.69,24.0,42.08,44.29,76.58,6.66,Irrigate
Wheat,70.0,20.15,76.0,74.8,42.11,76.37,6.59,Harvest
Maize,56.95,48.6,94.7,98.87,51.58,95.27,6.49,Apply Pesticide
Sugarcane,68.64,30.07,73.26,106.22,45.08,107.79,6.58,Optimal
Maize,53.78,48.1,90.9,92.86,48.86,90.04,6.16,Apply Pesticide
Sugarcane,64.02,30.51,72.13,100.15,43.68,112.82,6.94,Optimal
Sugarcane,65.44,30.19,73.78,103.88,46.68,106.78,6.92,Optimal
Tomato,63.23,38.4,95.6,91.64,48.82,89.89,6.33,Apply Pesticide
Sugarcane,83.6,30.43,91.9,118.03,51.1,123.62,6.76,Harvest
Rice,55.2,28.74,83.0,71.13,41.22,68.52,6.54,Monitor
Cotton,25.8,32.41,57.58,51.56,32.1,66.02,6.62,Monitor
Tomato,78.5,25.69,90.0,98.1,55.69,109.33,6.58,Harvest
Rice,32.1,26.87,27.4,82.1,48.35,74.25,6.45,Irrigate
Sugarcane,69.77,32.12,78.69,97.52,20.0,108.25,6.85,Fertilize
Tomato,14.2,26.93,21.0,87.14,51.23,101.17,6.55,Irrigate
Rice,62.2,28.25,73.72,73.58,43.45,74.54,6.4,Monitor
Tomato,82.2,24.98,94.0,99.09,55.67,100.16,6.68,Harvest
Wheat,43.64,20.04,56.24,7.3,39.55,72.71,6.63,Fertilize
Tomato,46.6,27.67,65.75,77.04,43.81,91.68,6.56,Monitor
Maize,57.25,46.3,90.3,88.26,53.22,83.06,6.56,Apply Pesticide
Potato,59.79,19.6,68.98,74.62,56.53,115.23,5.55,Optimal
Sugarcane,67.32,31.32,75.56,113.3,45.68,100.28,7.0,Optimal
Wheat,45.85,21.12,55.4,65.14,9.4,72.66,6.57,Fertilize
Wheat,69.0,19.38,76.2,86.39,45.99,72.1,6.92,Harvest
Wheat,25.5,22.3,30.1,64.83,37.11,67.58,6.82,Irrigate
Sugarcane,86.6,30.88,96.3,130.41,53.53,111.27,6.86,Harvest
Sugarcane,85.9,33.0,102.9,123.09,48.53,114.2,6.57,Harvest
Cotton,40.62,49.2,90.2,59.0,37.23,74.95,6.73,Apply Pesticide
Cotton,9.0,31.09,26.0,58.52,36.63,66.84,6.99,Irrigate
Cotton,27.0,34.65,55.53,51.81,30.14,66.04,7.15,Monitor
Potato,61.91,19.15,70.73,85.23,52.57,120.77,5.88,Optimal
Sugarcane,55.6,31.56,73.99,86.39,37.43,101.48,7.1,Monitor
Maize,57.95,27.54,65.59,100.83,46.13,83.76,6.23,Optimal
Maize,52.74,27.85,64.81,45.9,49.03,93.01,6.35,Fertilize
Maize,42.4,28.33,59.72,89.59,42.99,78.84,6.08,Monitor
Tomato,58.69,23.89,73.12,24.1,51.51,100.66,6.42,Fertilize
Soybean,34.5,24.18,67.68,37.83,42.12,68.41,6.6,Monitor
Cotton,15.3,33.73,39.8,57.6,36.22,65.72,7.01,Irrigate
Potato,56.42,20.2,69.34,77.46,55.78,119.48,5.75,Optimal
Soybean,47.95,23.02,63.81,39.81,47.95,81.53,6.39,Optimal
Cotton,42.52,31.83,56.25,8.7,37.21,69.54,6.91,Fertilize
Sugarcane,68.8,46.5,95.5,112.93,48.46,98.91,6.99,Apply Pesticide
Maize,55.93,44.8,87.9,99.59,53.47,86.68,6.21,Apply Pesticide
Potato,64.44,29.9,84.7,84.34,50.82,120.61,5.68,Apply Pesticide
Soybean,38.5,26.79,65.32,33.16,42.0,77.44,6.13,Monitor
Potato,62.59,19.17,70.09,19.9,58.21,114.91,5.91,Fertilize
Rice,88.2,24.81,103.5,93.65,52.72,84.53,6.38,Harvest
Rice,102.4,27.76,97.2,86.65,51.45,85.2,6.01,Harvest
Rice,55.5,27.51,72.1,71.39,42.16,72.58,6.19,Monitor
Cotton,20.5,33.11,35.2,59.17,32.94,74.12,6.93,Irrigate
Maize,55.06,25.52,64.55,96.96,20.9,84.79,6.23,Fertilize
Rice,59.0,28.11,79.51,68.23,38.08,76.67,6.53,Monitor
Cotton,25.5,33.2,56.52,52.42,29.96,65.82,6.66,Monitor
Potato,44.9,19.58,71.09,71.7,47.7,110.59,5.83,Monitor
Sugarcane,18.4,32.46,33.8,110.89,45.87,96.97,6.64,Irrigate
Potato,30.9,19.57,31.6,79.06,52.39,120.06,5.94,Irrigate
Cotton,11.7,31.06,33.4,55.63,35.98,67.09,6.87,Irrigate
Rice,59.1,28.38,80.51,71.76,43.54,70.04,6.61,Monitor
Tomato,55.64,23.19,66.52,85.56,24.4,98.18,6.66,Fertilize
Sugarcane,64.09,42.4,94.2,109.76,48.14,96.77,6.95,Apply Pesticide
Potato,62.91,20.23,68.42,32.4,52.12,113.77,5.75,Fertilize
Maize,46.9,29.32,64.34,82.54,43.37,76.97,6.64,Monitor
Rice,74.65,28.13,80.07,86.25,11.8,74.35,6.13,Fertilize
Cotton,26.0,32.68,50.27,55.46,32.76,64.86,6.79,Monitor
Rice,69.78,27.43,77.33,82.5,47.59,83.58,6.02,Optimal
Rice,64.75,27.23,83.35,80.48,19.0,74.03,6.18,Fertilize
Wheat,45.28,38.3,79.5,67.87,38.82,73.43,6.53,Apply Pesticide
Wheat,47.24,33.8,77.4,69.61,38.42,66.9,7.0,Apply Pesticide
Cotton,24.0,32.51,50.54,49.19,33.84,69.05,6.76,Monitor
Rice,67.17,36.2,95.9,79.46,45.48,85.11,6.48,Apply Pesticide
Wheat,46.69,21.41,56.09,67.83,39.77,69.98,6.77,Optimal
Tomato,60.53,34.9,88.9,86.91,47.79,89.68,6.47,Apply Pesticide
Sugarcane,65.28,30.66,80.81,51.5,43.19,100.57,6.9,Fertilize
Sugarcane,49.2,33.96,74.72,96.85,39.31,102.92,6.56,Monitor
Cotton,41.97,33.43,52.08,13.5,36.2,72.41,6.79,Fertilize
Tomato,59.08,26.82,69.13,82.94,5.1,88.61,6.46,Fertilize
Soybean,52.67,24.23,67.39,40.82,6.0,74.81,6.56,Fertilize
Cotton,37.54,45.7,82.5,56.02,36.82,75.0,6.95,Apply Pesticide
Tomato,10.1,28.34,29.9,85.02,46.29,89.84,6.55,Irrigate
Rice,71.73,37.0,94.8,85.36,46.22,73.77,6.1,Apply Pesticide
Potato,84.9,18.53,90.9,97.26,57.21,120.91,5.97,Harvest
Sugarcane,56.7,32.93,75.58,95.87,40.46,97.54,6.41,Monitor
Soybean,50.9,25.0,66.86,42.79,47.13,85.55,6.27,Optimal
Potato,85.1,20.38,87.8,89.18,61.58,131.54,5.59,Harvest
Rice,70.04,28.54,82.03,75.69,41.91,81.82,6.01,Optimal
Maize,53.0,25.84,66.79,49.6,47.47,95.45,6.41,Fertilize
Wheat,44.42,19.33,62.95,69.79,40.99,66.52,6.77,Optimal
Potato,43.6,20.0,64.0,71.28,50.42,106.96,5.53,Monitor
Sugarcane,84.4,29.28,92.5,129.51,51.43,119.5,6.54,Harvest
Soybean,48.37,25.23,67.89,36.97,43.33,78.14,6.65,Optimal
Sugarcane,87.2,31.7,93.3,114.56,49.37,107.8,6.56,Harvest
Soybean,35.4,23.71,65.26,37.18,42.96,78.31,6.42,Monitor
Wheat,41.94,19.92,59.25,69.38,37.09,68.45,6.89,Optimal
Potato,33.0,21.6,37.7,85.02,56.15,109.31,5.83,Irrigate
Tomato,47.6,27.01,65.83,78.41,41.43,85.28,6.89,Monitor
Sugarcane,89.9,31.29,95.3,130.35,52.44,109.72,6.74,Harvest
Maize,51.89,25.97,63.57,98.25,46.25,95.07,6.63,Optimal
Soybean,69.0,23.26,88.7,45.12,48.75,88.06,6.68,Harvest
Wheat,46.44,21.1,60.91,73.19,41.59,70.8,6.65,Optimal
Sugarcane,61.1,33.66,75.1,107.29,44.32,107.45,6.86,Optimal
Potato,56.5,20.24,72.75,79.01,8.6,117.54,5.83,Fertilize
Potato,62.71,20.47,70.05,84.48,58.35,111.96,5.77,Optimal
Tomato,48.1,24.01,66.17,69.49,44.43,87.27,6.32,Monitor
Sugarcane,53.1,34.99,72.96,97.11,42.09,95.07,6.98,Monitor
Rice,72.88,28.0,82.68,13.6,42.92,82.41,6.11,Fertilize
Maize,29.1,28.35,37.9,99.58,52.03,92.55,6.17,Irrigate
Wheat,46.58,19.97,62.41,70.17,37.35,72.64,6.93,Optimal
Wheat,45.81,34.3,96.2,67.57,37.79,67.62,6.81,Apply Pesticide
Wheat,76.6,20.19,86.0,82.04,44.81,75.45,6.6,Harvest
Maize,10.7,28.75,36.3,96.65,48.11,90.91,6.51,Irrigate
Soybean,35.7,24.96,60.57,33.01,37.83,78.08,6.75,Monitor
Potato,90.5,19.71,87.4,86.9,57.66,131.41,5.67,Harvest
Wheat,47.72,18.74,55.56,66.74,38.63,65.66,6.52,Optimal
Maize,45.7,26.66,62.38,79.9,44.95,81.7,6.78,Monitor
Maize,58.58,26.49,64.43,101.0,16.3,96.23,6.62,Fertilize
Rice,58.6,25.96,73.7,67.24,38.93,74.37,6.25,Monitor
Soybean,52.72,36.7,90.4,41.76,47.86,85.44,6.72,Apply Pesticide
Sugarcane,65.97,33.8,75.63,108.56,13.9,98.36,6.99,Fertilize
Tomato,61.54,41.7,87.4,83.05,51.32,95.87,6.57,Apply Pesticide
Maize,54.42,27.34,65.31,102.11,53.24,91.58,6.16,Optimal
Soybean,13.6,25.55,27.5,39.54,47.15,77.86,6.38,Irrigate
Maize,51.44,26.71,60.12,96.98,48.53,93.4,6.17,Optimal
Wheat,71.8,18.62,82.9,83.55,48.2,75.52,6.51,Harvest
Sugarcane,94.0,28.72,98.9,122.2,47.71,120.22,6.93,Harvest
Maize,56.6,48.9,86.4,89.12,52.94,89.66,6.65,Apply Pesticide
Rice,25.8,26.39,39.6,77.26,44.52,82.37,6.17,Irrigate
Cotton,37.94,29.3,56.89,62.73,36.96,73.85,6.83,Optimal
Rice,56.7,28.61,80.24,75.3,37.68,69.98,5.9,Monitor
Rice,102.3,26.57,97.5,93.19,50.45,86.57,6.06,Harvest
Soybean,40.7,25.8,65.21,33.58,40.3,75.86,6.74,Monitor
Potato,32.4,20.98,43.3,85.96,56.12,117.32,5.79,Irrigate
Potato,63.5,20.99,73.91,75.92,18.0,117.32,5.83,Fertilize
Rice,95.8,26.92,102.0,97.06,52.51,81.78,6.5,Harvest
Potato,16.2,22.02,28.4,83.25,59.29,124.12,5.92,Irrigate
Tomato,55.82,25.16,64.71,82.64,47.02,93.79,6.29,Optimal
Maize,58.35,29.51,63.84,100.74,52.1,87.7,6.2,Optimal
Potato,61.41,18.51,69.89,84.31,18.8,121.72,5.86,Fertilize
Soybean,53.68,23.48,69.46,38.02,47.94,79.39,6.55,Optimal
Cotton,29.8,32.96,52.28,55.02,30.89,65.27,6.81,Monitor
Sugarcane,67.62,29.19,78.68,107.14,43.72,103.41,6.84,Optimal
Tomato,83.7,24.26,89.7,91.66,54.36,104.29,6.42,Harvest
Wheat,46.5,20.88,56.4,26.6,38.69,72.92,6.61,Fertilize
Maize,58.79,45.3,92.1,99.92,48.89,84.36,6.62,Apply Pesticide
Cotton,42.86,49.4,95.1,60.94,32.97,71.96,6.74,Apply Pesticide
Potato,57.07,31.7,84.8,83.85,55.37,113.29,5.67,Apply Pesticide
Rice,70.55,27.39,81.95,76.87,9.9,84.4,6.1,Fertilize
Maize,25.4,29.26,35.8,100.24,53.09,93.42,6.18,Irrigate
Rice,65.66,27.47,84.1,77.25,7.5,83.67,6.03,Fertilize
Rice,100.3,24.38,107.4,87.48,53.49,92.36,6.48,Harvest
Wheat,48.43,20.66,62.44,23.6,41.64,74.03,6.74,Fertilize
Rice,69.83,25.56,85.7,84.48,46.22,79.52,6.21,Optimal
Wheat,48.18,20.77,60.39,74.85,39.86,70.69,6.8,Optimal
Sugarcane,85.3,32.69,100.1,117.38,48.45,122.42,6.71,Harvest
Potato,63.71,34.4,96.2,78.75,59.25,117.02,5.58,Apply Pesticide
Sugarcane,56.1,30.74,75.91,97.09,43.35,96.03,6.4,Monitor
Wheat,63.4,18.26,79.2,79.13,47.95,75.72,6.75,Harvest
Rice,59.9,25.71,79.06,66.35,43.38,78.7,6.03,Monitor
Tomato,39.2,26.41,37.3,82.93,53.88,90.7,6.37,Irrigate
Potato,62.87,18.99,66.56,42.3,52.63,116.0,5.62,Fertilize
Rice,66.34,28.98,84.54,76.55,9.2,76.29,6.25,Fertilize
Rice,65.0,25.45,81.57,13.9,45.03,80.57,6.14,Fertilize
Tomato,43.3,25.41,70.86,70.54,48.19,93.12,6.88,Monitor
Soybean,11.5,27.99,23.5,38.24,44.51,79.97,6.29,Irrigate
Wheat,44.08,30.0,78.2,69.86,39.97,73.0,6.87,Apply Pesticide
Cotton,17.6,33.85,35.0,56.96,33.86,75.5,6.86,Irrigate
Potato,63.51,34.5,85.2,80.74,54.83,118.57,5.68,Apply Pesticide
Tomato,59.08,23.78,68.09,85.97,8.9,91.76,6.71,Fertilize
Cotton,38.39,33.93,58.05,5.5,34.56,68.42,7.11,Fertilize
Maize,53.18,27.62,60.36,57.6,49.39,96.15,6.51,Fertilize
Cotton,23.5,32.01,56.09,55.44,33.54,66.93,6.7,Monitor
Rice,74.28,25.72,84.78,7.6,47.8,77.81,6.16,Fertilize
Tomato,63.74,24.04,74.26,22.7,48.68,96.04,6.43,Fertilize
Rice,65.11,25.41,84.59,81.71,7.8,80.71,6.26,Fertilize
Sugarcane,87.3,30.51,92.1,129.9,47.94,121.1,6.62,Harvest
Tomato,61.91,26.68,72.44,15.1,46.41,91.74,6.45,Fertilize
Sugarcane,66.86,51.1,89.8,102.09,48.4,100.38,6.51,Apply Pesticide
Tomato,86.6,23.79,85.0,103.0,51.52,109.65,6.62,Harvest
Sugarcane,48.5,31.18,68.69,93.3,39.41,94.87,6.37,Monitor
Soybean,48.57,36.8,89.7,38.04,46.07,74.74,6.41,Apply Pesticide
Tomato,59.26,24.06,66.46,91.42,18.8,87.72,6.34,Fertilize
Wheat,18.7,20.7,39.3,68.92,41.17,65.54,6.55,Irrigate
Rice,68.21,28.54,79.16,13.3,42.78,83.44,6.13,Fertilize
Rice,69.9,29.05,77.87,81.22,4.7,81.36,6.04,Fertilize
Tomato,57.02,43.1,86.0,85.35,51.11,92.9,6.65,Apply Pesticide
Rice,59.1,28.81,71.7,71.2,42.99,67.92,6.17,Monitor
Maize,53.55,28.07,61.87,87.86,10.6,94.69,6.35,Fertilize
Rice,57.8,29.41,82.51,75.54,42.96,74.54,6.21,Monitor
Wheat,44.48,20.25,59.64,66.29,36.92,71.23,6.98,Optimal
Tomato,62.13,26.09,67.47,81.84,53.9,89.17,6.58,Optimal
Wheat,41.4,37.9,74.2,73.07,39.81,70.27,6.59,Apply Pesticide
Soybean,49.5,23.7,61.03,37.47,42.21,77.37,6.24,Optimal
Soybean,50.27,24.59,67.17,37.29,43.49,76.5,6.59,Optimal
Rice,54.5,29.45,79.38,67.35,38.28,75.1,6.57,Monitor
Tomato,16.1,26.14,28.9,84.12,53.78,93.47,6.51,Irrigate
Cotton,41.61,31.78,57.42,60.55,8.4,67.19,7.02,Fertilize
Potato,58.14,19.1,65.02,16.7,55.06,116.89,5.57,Fertilize
Tomato,48.1,26.13,71.62,78.58,43.15,88.62,6.26,Monitor
Cotton,70.5,31.56,74.3,72.78,42.0,74.5,6.77,Harvest
Cotton,19.5,32.21,38.7,59.35,35.9,75.26,6.76,Irrigate
Cotton,20.0,32.09,28.2,60.15,35.73,72.56,7.08,Irrigate
Sugarcane,50.2,34.81,71.81,92.2,42.68,103.77,6.35,Monitor
Cotton,39.95,43.1,70.4,55.76,35.39,68.0,6.94,Apply Pesticide
Soybean,49.69,25.04,69.87,7.7,43.9,85.75,6.29,Fertilize
Potato,15.8,22.18,29.2,76.49,57.45,108.72,5.96,Irrigate
Maize,52.69,26.41,63.49,52.4,50.06,92.62,6.64,Fertilize
Tomato,43.5,25.97,67.03,80.4,43.59,84.27,6.38,Monitor
Potato,41.8,21.86,44.9,85.0,52.2,119.56,5.75,Irrigate
Sugarcane,62.9,31.91,69.61,104.67,44.13,102.58,6.61,Optimal
Sugarcane,38.0,32.12,31.7,101.14,45.75,104.0,6.6,Irrigate
Potato,52.6,21.12,64.36,74.44,50.13,107.79,5.76,Monitor
Tomato,49.1,25.23,64.8,69.5,45.46,93.99,6.72,Monitor
Sugarcane,69.57,47.1,92.6,100.22,45.87,104.25,6.9,Apply Pesticide
Sugarcane,67.88,30.38,70.59,99.66,15.2,103.88,6.99,Fertilize
Maize,58.17,25.33,61.03,95.9,53.82,92.31,6.34,Optimal
Potato,61.35,19.45,66.83,28.1,58.91,116.75,5.53,Fertilize
Potato,60.05,30.6,87.4,80.25,52.14,107.79,5.91,Apply Pesticide
Wheat,42.53,19.0,64.59,28.7,38.4,71.02,6.77,Fertilize
Tomato,92.9,22.87,90.8,93.67,52.16,109.35,6.67,Harvest
Potato,51.8,21.24,66.31,72.72,52.61,111.25,5.39,Monitor
Rice,71.03,25.15,75.49,74.54,18.4,83.23,6.38,Fertilize
Cotton,24.1,31.01,54.94,55.58,32.24,67.87,6.98,Monitor
Maize,59.31,42.1,89.0,94.48,53.99,94.45,6.35,Apply Pesticide
Maize,30.7,27.31,27.8,91.73,46.39,89.46,6.54,Irrigate
Cotton,9.6,30.75,22.6,57.53,35.71,74.05,7.17,Irrigate
Sugarcane,57.3,34.38,73.62,86.58,40.8,103.1,6.84,Monitor
Potato,91.2,18.4,86.4,96.37,62.33,119.49,5.91,Harvest
Maize,75.4,24.65,86.7,110.67,51.83,99.24,6.42,Harvest
Soybean,50.22,23.01,68.2,37.53,19.8,83.01,6.53,Fertilize
Soybean,33.5,24.7,60.0,37.89,38.62,72.08,6.34,Monitor
Sugarcane,45.2,33.9,24.2,104.14,47.96,107.04,6.7,Irrigate
Potato,46.0,21.39,66.64,67.06,46.68,105.73,6.11,Monitor
Maize,57.17,28.64,68.77,101.87,49.57,88.8,6.38,Optimal
Wheat,45.94,36.9,92.4,73.93,38.51,74.16,6.83,Apply Pesticide
Maize,77.0,25.54,86.2,106.1,56.54,96.53,6.56,Harvest
Rice,61.6,29.86,79.94,68.87,43.34,75.52,6.53,Monitor
Maize,36.2,26.76,41.3,99.62,53.22,90.4,6.55,Irrigate
Tomato,25.8,24.66,29.6,85.33,48.83,89.13,6.32,Irrigate
Soybean,52.3,24.87,61.24,36.93,41.53,74.03,6.32,Optimal
Cotton,65.0,28.95,77.9,63.97,38.5,81.86,6.86,Harvest
Sugarcane,55.3,30.34,73.01,87.19,38.95,91.44,6.48,Monitor
Maize,52.47,28.52,67.97,43.0,52.8,88.75,6.42,Fertilize
Potato,57.97,32.1,93.2,77.0,57.87,112.41,5.55,Apply Pesticide
Rice,68.31,28.86,84.23,85.95,42.29,82.96,6.47,Optimal
Tomato,60.75,24.63,72.4,18.9,51.98,101.48,6.31,Fertilize
Potato,47.5,19.89,64.05,70.29,53.07,107.68,5.92,Monitor
Maize,21.2,26.74,21.0,97.4,53.61,93.99,6.38,Irrigate
Soybean,53.0,25.48,61.4,42.73,13.9,82.42,6.54,Fertilize
Maize,51.44,48.5,92.4,96.76,49.82,85.36,6.64,Apply Pesticide
Sugarcane,57.3,34.67,75.63,93.76,41.74,92.78,6.74,Monitor
Rice,70.38,44.2,96.9,78.86,46.9,74.88,6.39,Apply Pesticide
Sugarcane,88.1,31.23,101.0,123.82,46.77,120.96,6.59,Harvest
Rice,74.83,24.86,83.18,43.8,42.41,74.83,6.21,Fertilize
Maize,9.6,28.79,40.5,91.74,52.78,92.95,6.21,Irrigate
Potato,48.0,21.71,68.49,71.89,48.89,113.47,5.76,Monitor
Maize,80.5,27.4,88.4,105.16,59.97,106.7,6.41,Harvest
Wheat,25.3,22.59,32.4,67.02,38.04,66.9,6.86,Irrigate
Maize,87.5,26.65,91.9,102.29,57.51,105.11,6.29,Harvest
Soybean,40.9,26.06,61.46,35.18,39.59,68.07,6.32,Monitor
Potato,94.9,19.66,94.4,86.95,64.05,121.22,5.87,Harvest
Soybean,51.53,26.69,61.61,42.16,8.7,81.37,6.29,Fertilize
Potato,58.56,20.12,72.0,75.82,51.95,106.03,5.57,Optimal
Rice,71.63,25.61,85.64,85.81,47.99,78.34,6.01,Optimal
Soybean,46.06,23.68,67.6,37.4,44.3,76.66,6.53,Optimal
Rice,56.6,25.86,82.54,65.2,43.43,75.54,6.6,Monitor
Maize,54.46,43.0,90.4,96.96,49.31,85.42,6.44,Apply Pesticide
Maize,40.5,28.58,66.51,77.14,42.87,83.08,6.44,Monitor
Wheat,47.44,20.83,60.95,75.16,38.03,74.97,6.7,Optimal
Potato,62.04,19.67,69.11,80.99,56.57,107.15,5.82,Optimal
